,area_code,area_name,area_type,postcode,project_id
0,UK9014111,Elenydd - Mallaen,SPA,SY25 6ET,6690
1,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,6690
2,UK0014789,Coedydd Derw a Safleoedd Ystlumod Meirion/ Meirionnydd Oakwoods and Bat Sites,SCI,LL40 2HW,6690
3,UK0030117,Coed Cwm Einion,SCI,SY20 8TE,6690
4,UK0030128,Cwm Doethie - Mynydd Mallaen,SCI,SA20 0PN,6690
5,UK0030145,Coetiroedd Cwm Elan/ Elan Valley Woodlands,SCI,LD6 5HR,6690
6,UK0012566,Kenfig/ Cynffig,SCI,CF33 4PT,6689
7,UK0020019,Carmarthen Bay Dunes/ Twyni Bae Caerfyrddin,SCI,SA33 4RS,6689
8,UK0020021,Y Twyni o Abermenai i Aberffraw/ Abermenai to Aberffraw Dunes,SCI,LL61 6SG,6689
9,UK0030049,Morfa Harlech a Morfa Dyffryn,SCI,LL46 2GY,6689
10,UK9001131,Pentland Firth Islands,SPA,KW17 2RN,6688
11,UK9002101,West Westray,SPA,KW17 2DW,6688
12,UK9002111,Papa Westray (North Hill and Holm),SPA,KW17 2BU,6688
13,UK9002121,Marwick Head,SPA,KW17 2ND,6688
14,UK9002141,Hoy,SPA,KW16 3NJ,6688
15,UK9002151,Copinsay,SPA,KW17 2QJ,6688
16,UK9002181,Sule Skerry and Sule Stack,SPA,N/A,6688
17,UK9002311,Orkney Mainland Moors,SPA,KW17 2LA,6688
18,UK9002331,East Sanday Coast,SPA,KW17 2BB,6688
19,UK9002371,Rousay,SPA,KW17 2PS,6688
20,UK9002381,Auskerry,SPA,KW17 2AU,6688
21,UK9002431,Calf of Eday,SPA,KW17 2AB,6688
22,UK9002891,Switha,SPA,KW16 3PQ,6688
23,UK0012791,Hoy,SCI,KW16 3NJ,6688
24,UK0013589,Stromness Heaths and Coast,SCI,KW16 3HU,6688
25,UK0014749,Loch of Stenness,SCI,KW16 3JX,6688
26,UK0017096,Faray and Holm of Faray,SCI,KW17 2DE,6688
27,UK0030069,Sanday,SCI,KW17 2BP,6688
28,UK0030193,Loch of Isbister,SCI,KW17 2NA,6688
29,UK9010101,Dorset Heathlands,SPA,BH20 5DE,6812
30,UK0012559,Penhale Dunes,SCI,TR8 5PU,6812
31,UK0012570,Braunton Burrows,SCI,EX33 2NX,6812
32,UK0013025,Solway Firth,SCI,DG12 5PL,6812
33,UK0013027,Morecambe Bay,SCI,LA11 7LT,6812
34,UK0013031,Drigg Coast,SCI,CA18 1SG,6812
35,UK0013076,Sefton Coast,SCI,L37 1LB,6812
36,UK0030270,Saltfleetby-Theddlethorpe Dunes and Gibraltar Point,SCI,LN12 1PQ,6812
37,UK0014784,Usk Bat Sites/ Safleoedd Ystlumod Wysg,SCI,NP23 4SP,6340
38,UK0014790,Cors Caron,SCI,SY25 6JF,6340
39,UK0014791,Cors Fochno,SCI,SY24 5EJ,6340
40,UK0014792,Rhos Goch,SCI,HR3 6HN,6340
41,UK0030070,Cernydd Carmel,SCI,SA14 7TS,6340
42,UK0030074,Afonydd Cleddau/ Cleddau Rivers,SCI,SA62 5FA,6340
43,UK0030075,Afon Eden - Cors Goch Trawsfynydd,SCI,LL40 2HZ,6340
44,UK9005151,Bowland Fells,SPA,BB7 3BL,6339
45,UK9006272,North Pennine Moors,SPA,DL12 0HQ,6339
46,UK0014774,Moor House  - Upper Teesdale,SCI,DL12 0YB,6339
47,UK0030033,North Pennine Moors,SCI,HG4 4LU,6339
48,UK9015022,Severn Estuary,SPA,TA5 2PX,5866
49,UK0013030,Severn Estuary/ Môr Hafren,SCI,NP10 8ST,5866
50,UK9008031,Nene Washes,SPA,PE6 0UG,5938
51,UK9008041,Ouse Washes,SPA,CB6 2EJ,5938
52,UK0013011,Ouse Washes,SCI,CB6 2EJ,5938
53,UK0030222,Nene Washes,SCI,PE7 2JQ,5938
54,UK0012912,"Fenn`s, Whixall, Bettisfield, Wem and Cadney Mosses",SCI,SY13 2RT,5865
55,UK9009253,Broadland,SPA,NR12 0BP,5347
56,UK0013577,The Broads,SCI,NR12 0BP,5347
57,UK0030280,South Pennine Moors,SCI,S33 0BB,5345
58,UK9004171,Forth Islands,SPA,EH39 5EX,5346
59,UK9006031,Coquet Island,SPA,NE65 0JS,5346
60,UK9011061,Solent and Southampton Water,SPA,SO41 8AE,5346
61,UK9020042,Larne Lough,SPA,BT40 3HY,5346
62,IE0004009,Lady's Island Lake SPA,SPA,N/A NoArea,5346
63,IE0004014,Rockabill SPA,SPA,N/A NoArea,5346
64,IE0004172,Dalkey Islands SPA,SPA,N/A NoArea,5346
65,UK0012923,"Border Mires, Kielder - Butterburn",SCI,NE48 1EU,5344
66,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,5344
67,UK0013076,Sefton Coast,SCI,L37 1LB,5344
68,UK9001041,The Shiant Isles,SPA,HS2 9RD,5018
69,UK9002771,Glen Tanar,SPA,AB34 5EU,4935
70,UK9005151,Bowland Fells,SPA,BB7 3BL,4935
71,UK9006272,North Pennine Moors,SPA,DL12 0HQ,4935
72,UK9003261,Muirkirk and North Lowther Uplands,SPA,KA18 3ND,4935
73,UK9003271,Langholm - Newcastleton Hills,SPA,DG13 0HU,4935
74,UK9003351,Glen App and Galloway Moors,SPA,DG8 0AZ,4935
75,UK9004381,Forest of Clunie,SPA,PH9 0NZ,4935
76,UK0019834,Roudsea Wood and Mosses,SCI,LA12 8PF,4948
77,UK0030310,South Solway Mosses,SCI,CA7 5AP,4948
78,UK0030362,Bolton Fell Moss,SCI,CA6 6HT,4948
79,UK9005171,Thorne and Hatfield Moors,SPA,DN14 8DT,5075
80,UK0012915,Thorne Moor,SCI,DN14 8DT,5075
81,UK0030166,Hatfield Moor,SCI,DN7 6DT,5075
82,UK9005081,Morecambe Bay,SPA,N/A NoArea,4755
83,UK9006011,Lindisfarne,SPA,TD15 2SS,4755
84,UK9006061,Teesmouth and Cleveland Coast,SPA,TS10 5BE,4755
85,UK9006111,Humber Estuary,SPA,DN36 4EU,4755
86,UK9006131,Northumbria Coast,SPA,NE66 3TN,4755
87,UK9008022,Gibraltar Point,SPA,PE24 4ST,4755
88,UK9009031,North Norfolk Coast,SPA,PE36 6NG,4755
89,UK9009131,Hamford Water,SPA,CO14 8LQ,4755
90,UK9009245,Blackwater Estuary (Mid-Essex Coast Phase 4),SPA,CM9 8TB,4755
91,UK9009271,Great Yarmouth North Denes,SPA,NR29 4BH,4755
92,UK9009291,Benacre to Easton Bavents,SPA,NR34 7LN,4755
93,UK9011011,Chichester and Langstone Harbours,SPA,PO10 8DY,4755
94,UK9012041,Pagham Harbour,SPA,PO21 4NX,4755
95,UK9013011,The Dee Estuary,SPA,CH8 9DP,4755
96,UK0013027,Morecambe Bay,SCI,LA11 7LT,4755
97,UK0013043,Winterton - Horsey Dunes,SCI,NR29 4BH,4755
98,UK0013104,Benacre to Easton Bavents Lagoons,SCI,NR34 7LN,4755
99,UK0013690,Essex Estuaries,SCI,CO16 8EX,4755
100,UK0017097,North Northumberland Dunes,SCI,TD15 2SF,4755
101,UK0019838,North Norfolk Coast,SCI,PE31 8ED,4755
102,UK0030059,Solent Maritime,SCI,PO11 9SL,4755
103,UK0030131,Dee Estuary/ Aber Dyfrdwy,SCI,CH8 9EF,4755
104,UK0030170,Humber Estuary,SCI,DN17 3DU,4755
105,ROSCI0002,Apuseni,SCI,N/A NoArea,4759
106,ROSCI0042,Codru Moma,SCI,N/A NoArea,4759
107,ROSCI0064,Defileul Mureşului,SCI,N/A NoArea,4759
108,ROSCI0070,Drocea,SCI,N/A NoArea,4759
109,ROSCI0126,Munţii Ţarcu,SCI,N/A NoArea,4759
110,ROSCI0217,Retezat,SCI,N/A NoArea,4759
111,ROSCI0219,Rusca Montană,SCI,N/A NoArea,4759
112,ROSCI0250,Ţinutul Pădurenilor,SCI,N/A NoArea,4759
113,ROSCI0291,Coridorul Munţii Bihorului - Codru Moma,SCI,N/A NoArea,4759
114,ROSCI0292,Coridorul Rusca Montană - Ţarcu - Retezat,SCI,N/A NoArea,4759
115,ROSCI0298,Defileul Crişului Alb,SCI,N/A NoArea,4759
116,ROSCI0325,Munţii Metaliferi,SCI,N/A NoArea,4759
117,ROSCI0355,Podişul Lipovei - Poiana Ruscă,SCI,N/A NoArea,4759
118,ROSCI0406,Zarandul de Est,SCI,N/A NoArea,4759
119,ROSCI0407,Zarandul de Vest,SCI,N/A NoArea,4759
120,UK0012870,Rannoch Moor,SCI,PA36 4AG,4311
121,UK0012935,North Harris,SCI,HS3 3AS,4311
122,UK0012994,River Moidart,SCI,PH38 4ND,4311
123,UK0012995,River Borgie,SCI,KW14 7TH,4311
124,UK0012996,River Kerry,SCI,IV22 2HP,4311
125,UK0013141,Foinaven,SCI,IV27 4SL,4311
126,UK0019811,River Spey,SCI,PH26 3PN,4311
127,UK0030057,River Ehen,SCI,CA23 3AE,4311
128,UK0030075,Afon Eden - Cors Goch Trawsfynydd,SCI,LL40 2HZ,4311
129,UK0030079,Ardnamurchan Burns,SCI,PH36 4LN,4311
130,UK0030081,Abhainn Clais An Eas and Allt a`Mhuilinn,SCI,IV27 4LR,4311
131,UK0030154,Glen Beasdale,SCI,PH38 4NA,4311
132,UK0030171,Inverpolly,SCI,IV26 2XY,4311
133,UK0030206,Mingarry Burn,SCI,PA75 6QL,4311
134,UK0030231,Ardvar and Loch a`Mhuilinn Woodlands,SCI,IV27 4HP,4311
135,UK0030254,River Evelix,SCI,IV25 3NH,4311
136,UK0030259,River Moriston,SCI,IV63 7YL,4311
137,UK0030260,River Naver,SCI,IV27 4UH,4311
138,UK0030261,River Oykel,SCI,IV27 4BQ,4311
139,UK0030262,River South Esk,SCI,DD8 3TR,4311
140,UK0030251,River Dee,SCI,AB35 5UE,4311
141,UK9020288,Isles of Scilly,SPA,TR24 0QB,4320
142,UK9011102,Salisbury Plain,SPA,SP3 4DT,3863
143,UK9009112,Alde-Ore Estuary,SPA,IP12 2NY,3537
144,UK0030076,"Alde, Ore and Butley Estuaries",SCI,IP12 2BT,3537
145,UK0012642,River Wye/ Afon Gwy,SCI,LD3 0NR,3538
146,UK9007021,Peak District Moors (South Pennine Moors Phase 1),SPA,S33 0BB,3539
147,UK9007022,South Pennine Moors Phase 2,SPA,HX7 7AT,3539
148,UK0030280,South Pennine Moors,SCI,S33 0BB,3539
149,UK9001082,South Uist Machair and Lochs,SPA,HS8 5RS,3540
150,UK9001741,"Ness & Barvas, Lewis",SPA,HS2 0XD,3540
151,UK9001751,"Aird & Borve, Benbecula",SPA,HS7 5LU,3540
152,UK9001761,"Eoligarry, Barra",SPA,HS9 5YE,3540
153,UK9003034,Tiree (corncrake),SPA,PA77 6TZ,3540
154,UK0019804,North Uist Machair,SCI,HS6 5HQ,3540
155,UK0030247,Rinns of Islay,SCI,PA48 7UB,3540
156,UK9008021,The Wash,SPA,PE31 7LJ,3321
157,UK9009031,North Norfolk Coast,SPA,PE36 6NG,3321
158,UK0017075,The Wash and North Norfolk Coast,SCI,PE31 7LJ,3321
159,UK0019838,North Norfolk Coast,SCI,PE31 8ED,3321
160,UK0012884,Corsydd Môn/ Anglesey Fens,SCI,LL77 7UT,3326
161,UK0030187,Corsydd Llyn/ Lleyn Fens,SCI,LL53 8TU,3326
162,UK0012926,Berwyn a Mynyddoedd de Clwyd/ Berwyn and South Clwyd Mountains,SCI,LL23 7DF,3152
163,UK0030205,Migneint-Arenig-Dduallt,SCI,LL24 0PA,3152
164,UK9001431,Canna and Sanday,SPA,N/A,2937
165,UK9011091,Avon Valley,SPA,BH23 7BG,2939
166,UK0013016,River Avon,SCI,SP4 6AQ,2939
167,UK0012727,Wye Valley Woodlands/ Coetiroedd Dyffryn Gwy,SCI,NP16 7PT,2477
168,UK0019859,Peak District Dales,SCI,DE6 2GA,2477
169,UK0012782,Ingleborough Complex,SCI,LA2 8EE,1974
170,UK9002241,Cairngorms,SPA,PH22 1RB,1975
171,UK9002561,Abernethy Forest,SPA,AB37 9ES,1975
172,UK9002581,Kinveachy Forest,SPA,PH22 1TZ,1975
173,UK9002771,Glen Tanar,SPA,AB34 5EU,1975
174,UK9002781,Ballochbuie,SPA,AB35 5TU,1975
175,UK9003021,Loch Lomond,SPA,G83 8SB,1975
176,UK0012557,The New Forest,SCI,BH24 4HU,1976
177,UK0012552,Pewsey Downs,SCI,SN8 4LD,1712
178,UK0012683,Salisbury Plain,SCI,SP3 4DT,1712
179,UK9001051,North Uist Machair and Islands,SPA,HS6 5HQ,1713
180,UK9001082,South Uist Machair and Lochs,SPA,HS8 5RS,1713
181,UK9001501,Mointeach Scadabhaigh,SPA,HS6 5HA,1713
182,UK9001751,"Aird & Borve, Benbecula",SPA,HS7 5LU,1713
183,UK0013089,Clyde Valley Woods,SCI,ML8 4SD,1714
184,UK0019803,Sunart,SCI,PH36 4JQ,1714
185,UK0030094,Borders Woods,SCI,TD6 0SG,1714
186,UK0030112,Cawdor Wood,SCI,IV12 5RD,1714
187,UK0030123,Craighall Gorge,SCI,PH10 7JB,1714
188,UK0030125,Upper Strathearn Oakwoods,SCI,PH7 4BF,1714
189,UK0030153,Galloway Oakwoods,SCI,DG8 6SW,1714
190,UK0030174,Keltneyburn,SCI,PH15 2LE,1714
191,UK0030223,Ness Woods,SCI,IV63 7YE,1714
192,UK0030274,Shingle Islands,SCI,PH9 0NL,1714
193,UK0030286,Tarbert Woods,SCI,PA29 6YA,1714
194,UK0030290,Trossachs Woods,SCI,FK17 8HZ,1714
195,UK0012902,Flanders Mosses,SCI,FK8 3QT,1716
196,UK0012907,Solway Mosses North,SCI,CA7 5AP,1716
197,UK0019756,"Bankhead Moss, Beith",SCI,KA15 1JZ,1716
198,UK0019759,Braehead Moss,SCI,ML11 8FD,1716
199,UK0019760,Coalburn Moss,SCI,ML11 0NJ,1716
200,UK0019762,Cranley Moss,SCI,ML11 8SA,1716
201,UK0019763,Dykeneuk Moss,SCI,KA13 7RJ,1716
202,UK0019800,Turclossie Moss,SCI,AB43 6QY,1716
203,UK0019839,Mòine Mhór,SCI,PA31 8SN,1716
204,UK0030111,Carsegowan Moss,SCI,DG8 9TG,1716
205,UK0030288,Threepwood Moss,SCI,TD1 2PY,1716
206,UK0019857,Dorset Heaths,SCI,BH20 5DE,1717
207,UK9009031,North Norfolk Coast,SPA,PE36 6NG,346
208,UK9009101,Minsmere-Walberswick,SPA,IP18 6UT,346
209,UK9009112,Alde-Ore Estuary,SPA,IP12 2NY,346
210,UK9009121,Stour and Orwell Estuaries,SPA,CO11 2TG,346
211,UK9009131,Hamford Water,SPA,CO14 8LQ,346
212,UK9009171,Benfleet and Southend Marshes,SPA,SS0 8FJ,346
213,UK9009242,Dengie (Mid-Essex Coast Phase 1),SPA,CM0 7QB,346
214,UK9009243,Colne Estuary (Mid-Essex Coast Phase 2),SPA,CO5 7DN,346
215,UK9009244,Crouch and Roach Estuaries (Mid-Essex Coast Phase 3),SPA,CM3 6HG,346
216,UK9009245,Blackwater Estuary (Mid-Essex Coast Phase 4),SPA,CM9 8TB,346
217,UK9009246,Foulness (Mid-Essex Coast Phase 5),SPA,SS3 9XF,346
218,UK9009261,Deben Estuary,SPA,IP12 3AD,346
219,UK9009291,Benacre to Easton Bavents,SPA,NR34 7LN,346
220,UK9011011,Chichester and Langstone Harbours,SPA,PO10 8DY,346
221,UK9011061,Solent and Southampton Water,SPA,SO41 8AE,346
222,UK9012011,The Swale,SPA,ME9 9HL,346
223,UK9012021,Thames Estuary and Marshes,SPA,ME3 8RS,346
224,UK9012031,Medway Estuary and Marshes,SPA,ME9 7HG,346
225,UK9012071,Thanet Coast and Sandwich Bay,SPA,CT13 9QL,346
226,UK9012091,Dungeness to Pett Level,SPA,TN31 7SG,346
227,UK0012809,Minsmere to Walberswick Heaths and Marshes,SCI,IP17 3DJ,346
228,UK0013043,Winterton - Horsey Dunes,SCI,NR29 4BH,346
229,UK0013059,Dungeness,SCI,TN29 9PX,346
230,UK0013104,Benacre to Easton Bavents Lagoons,SCI,NR34 7LN,346
231,UK0013107,Thanet Coast,SCI,CT9 1AP,346
232,UK0013690,Essex Estuaries,SCI,CO16 8EX,346
233,UK0014780,Orfordness - Shingle Street,SCI,IP12 2NY,346
234,UK0017073,Solent and Isle of Wight Lagoons,SCI,PO12 2NJ,346
235,UK0017075,The Wash and North Norfolk Coast,SCI,PE31 7LJ,346
236,UK0019838,North Norfolk Coast,SCI,PE31 8ED,346
237,UK0030059,Solent Maritime,SCI,PO11 9SL,346
238,UK9020309,Outer Thames Estuary,SPA,IP12 3BH,346
239,UK9006111,Humber Estuary,SPA,DN36 4EU,470
240,UK9008021,The Wash,SPA,PE31 7LJ,470
241,UK9009031,North Norfolk Coast,SPA,PE36 6NG,470
242,UK9011031,New Forest,SPA,BH24 4BA,470
243,UK9011061,Solent and Southampton Water,SPA,SO41 8AE,470
244,UK0017075,The Wash and North Norfolk Coast,SCI,PE31 7LJ,470
245,UK0019838,North Norfolk Coast,SCI,PE31 8ED,470
246,UK0030059,Solent Maritime,SCI,PO11 9SL,470
247,UK0030170,Humber Estuary,SCI,DN17 3DU,470
248,UK9007021,Peak District Moors (South Pennine Moors Phase 1),SPA,S33 0BB,550
249,UK9007022,South Pennine Moors Phase 2,SPA,HX7 7AT,550
250,UK0012599,River Itchen,SCI,SO50 7DE,550
251,UK0012642,River Wye/ Afon Gwy,SCI,LD3 0NR,550
252,UK0012643,River Eden,SCI,CA10 2NR,550
253,UK0012670,Afon Teifi/ River Teifi,SCI,SA48 7ND,550
254,UK0012994,River Moidart,SCI,PH38 4ND,550
255,UK0012995,River Borgie,SCI,KW14 7TH,550
256,UK0012996,River Kerry,SCI,IV22 2HP,550
257,UK0013007,River Usk/ Afon Wysg,SCI,NP7 9HH,550
258,UK0013010,Afon Tywi/ River Tywi,SCI,SA19 7BP,550
259,UK0013016,River Avon,SCI,SP4 6AQ,550
260,UK0019840,Endrick Water,SCI,G63 0LE,550
261,UK0019859,Peak District Dales,SCI,DE6 2GA,550
262,UK0030033,North Pennine Moors,SCI,HG4 4LU,550
263,UK0030056,River Camel,SCI,PL30 4QP,550
264,UK0030057,River Ehen,SCI,CA23 3AE,550
265,UK0030280,South Pennine Moors,SCI,S33 0BB,550
266,UK0013027,Morecambe Bay,SCI,LA11 7LT,551
267,UK0013575,Conon Islands,SCI,IV7 8AH,336
268,UK0013618,Monadh Mor,SCI,IV7 8HZ,336
269,UK0013619,Pitmaduthy Moss,SCI,IV19 1NE,336
270,UK0016412,Cairngorms,SCI,PH22 1RB,336
271,UK0012923,"Border Mires, Kielder - Butterburn",SCI,NE48 1EU,337
272,UK0012557,The New Forest,SCI,BH24 4HU,249
273,UK0012682,Taynish and Knapdale Woods,SCI,PA31 8PS,251
274,UK0012745,Borrowdale Woodland Complex,SCI,CA12 5XJ,251
275,UK0012750,Loch Etive Woods,SCI,PA35 1JT,251
276,UK0013573,Loch Lomond Woods,SCI,G83 7DQ,251
277,UK0013597,Loch Maree Complex,SCI,IV22 2PD,251
278,UK0014789,Coedydd Derw a Safleoedd Ystlumod Meirion/ Meirionnydd Oakwoods and Bat Sites,SCI,LL40 2HW,251
279,UK0019803,Sunart,SCI,PH36 4JQ,251
280,UK9009112,Alde-Ore Estuary,SPA,IP12 2NY,526
281,UK0014780,Orfordness - Shingle Street,SCI,IP12 2NY,526
282,UK0030076,"Alde, Ore and Butley Estuaries",SCI,IP12 2BT,526
283,UK0012712,Cardigan Bay/ Bae Ceredigion,SCI,SA43 1QH,81
284,UK0013025,Solway Firth,SCI,DG12 5PL,81
285,UK0013027,Morecambe Bay,SCI,LA11 7LT,81
286,UK0013111,Plymouth Sound and Estuaries,SCI,PL9 0AB,81
287,UK0013117,Pen Llyn a`r Sarnau/ Lleyn Peninsula and the Sarnau,SCI,LL53 7BY,81
288,UK0016618,Strangford Lough,SCI,BT23 6TU,81
289,UK0017069,Papa Stour,SCI,ZE2 9PW,81
290,UK0017070,Loch nam Madadh,SCI,HS6 5AF,81
291,UK0017072,Berwickshire and North Northumberland Coast,SCI,NE68 7SZ,81
292,UK0017075,The Wash and North Norfolk Coast,SCI,PE31 7LJ,81
293,UK0017076,Chesil and the Fleet,SCI,DT3 4EE,81
294,UK0019802,Sound of Arisaig (Loch Ailort to Loch Ceann Traigh),SCI,PH36 4LR,81
295,UK9005091,Leighton Moss,SPA,LA5 0SW,119
296,UK9009031,North Norfolk Coast,SPA,PE36 6NG,119
297,UK9009101,Minsmere-Walberswick,SPA,IP18 6UT,119
298,UK9009253,Broadland,SPA,NR12 0BP,119
299,UK9009291,Benacre to Easton Bavents,SPA,NR34 7LN,119
300,UK0012809,Minsmere to Walberswick Heaths and Marshes,SCI,IP17 3DJ,119
301,UK0012883,Holme Moor and Clean Moor,SCI,TA4 1NH,119
302,UK0012884,Corsydd Môn/ Anglesey Fens,SCI,LL77 7UT,119
303,UK0013104,Benacre to Easton Bavents Lagoons,SCI,NR34 7LN,119
304,UK0014782,Fenland,SCI,CB7 5XP,119
305,UK0017075,The Wash and North Norfolk Coast,SCI,PE31 7LJ,119
306,UK0019838,North Norfolk Coast,SCI,PE31 8ED,119
307,UK0013076,Sefton Coast,SCI,L37 1LB,63
308,UK0012566,Kenfig/ Cynffig,SCI,CF33 4PT,64
309,UK0012685,Gower Commons/ Tiroedd Comin Gwyr,SCI,SA3 1LD,64
310,UK0012727,Wye Valley Woodlands/ Coetiroedd Dyffryn Gwy,SCI,NP16 7PT,64
311,UK0012748,Coedydd a Cheunant Rheidol/ Rheidol Woods and Gorge,SCI,SY23 3JR,64
312,UK0012766,Coed y Cerrig,SCI,NP7 7NA,64
313,UK0012878,Drostre Bank,SCI,LD3 0TT,64
314,UK0012884,Corsydd Môn/ Anglesey Fens,SCI,LL77 7UT,64
315,UK0012885,Crymlyn Bog/ Cors Crymlyn,SCI,SA1 7BG,64
316,UK0012912,"Fenn`s, Whixall, Bettisfield, Wem and Cadney Mosses",SCI,SY13 2RT,64
317,UK0012926,Berwyn a Mynyddoedd de Clwyd/ Berwyn and South Clwyd Mountains,SCI,LL23 7DF,64
318,UK0012928,Elenydd,SCI,SY23 4AG,64
319,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,64
320,UK0013045,St David`s / Ty Ddewi,SCI,SA62 6PS,64
321,UK0014788,Great Orme`s Head/ Pen y Gogarth,SCI,LL30 2XG,64
322,UK0014790,Cors Caron,SCI,SY25 6JF,64
323,UK0014791,Cors Fochno,SCI,SY24 5EJ,64
324,UK0014792,Rhos Goch,SCI,HR3 6HN,64
325,UK0020019,Carmarthen Bay Dunes/ Twyni Bae Caerfyrddin,SCI,SA33 4RS,64
326,UK0020021,Y Twyni o Abermenai i Aberffraw/ Abermenai to Aberffraw Dunes,SCI,LL61 6SG,64
327,UK9007021,Peak District Moors (South Pennine Moors Phase 1),SPA,S33 0BB,65
328,UK9007022,South Pennine Moors Phase 2,SPA,HX7 7AT,65
329,UK0030280,South Pennine Moors,SCI,S33 0BB,65
330,UK0012895,Ben Lawers,SCI,PH15 2PW,66
331,UK0012959,Glen Coe,SCI,PH49 4LA,66
332,UK0013592,Lendalfoot Hills Complex,SCI,KA26 0JB,66
333,UK0013597,Loch Maree Complex,SCI,IV22 2PD,66
334,UK9010101,Dorset Heathlands,SPA,BH20 5DE,67
335,FR5300013,Monts d'Arrée centre et est,SCI,N/A NoArea,67
336,UK0012799,The Lizard,SCI,TR12 7AU,67
337,UK0013112,Fal and Helford,SCI,TR12 6JZ,67
338,UK0019857,Dorset Heaths,SCI,BH20 5DE,67
339,UK0014739,Strathglass Complex,SCI,IV4 7LH,131
340,UK0013602,Caithness and Sutherland Peatlands,SCI,N/A,128
341,UK0016603,Cuilcagh Mountain,SCI,BT92 1ER,128
342,UK0014780,Orfordness - Shingle Street,SCI,IP12 2NY,149
343,UK0012882,Waveney and Little Ouse Valley Fens,SCI,IP22 2HX,173
344,FR2300123,BOUCLES DE LA SEINE AVAL,SCI,N/A NoArea,160
345,FR5200621,Estuaire de la Loire,SCI,N/A NoArea,160
346,FR5400472,Moyenne vallée de la Charente et Seugnes et Coran,SCI,N/A NoArea,160
347,FR5412005,Vallée de la Charente moyenne et Seugnes,SPA,N/A NoArea,160
348,UK0019865,Breckland,SCI,IP26 5JQ,202
349,UK9009201,Breckland,SPA,IP24 1RH,202
350,UK0019857,Dorset Heaths,SCI,BH20 5DE,515
351,UK0030038,Dorset Heaths (Purbeck and Wareham) and Studland Dunes,SCI,BH19 3AH,515
