"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pakistani,"3,092",256,264,171,242,118,647,151,155,100,79,82,411,419,,"3,365",317,328,202,240,127,692,154,151,95,89,83,461,429
,Palauan,2,-,-,-,1,-,-,-,-,-,-,-,-,1,,2,-,-,-,1,-,-,-,-,-,-,-,-,1
,Palestinian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,9,-,-,1,2,-,1,2,-,2,-,1,-,-
,Panamanian,3,-,-,-,-,-,1,1,-,1,-,-,-,-,,3,-,-,-,-,-,1,1,-,1,-,-,-,-
,Papua New Guinean,6,1,-,1,1,-,2,-,-,1,-,-,-,-,,8,1,-,1,1,-,2,-,-,1,1,-,-,1
,Paraguayan,1,-,-,-,-,1,-,-,-,-,-,-,-,-,,2,-,-,-,-,1,-,-,-,-,-,1,-,-
,Peruvian,41,2,3,7,4,-,5,2,7,1,2,4,3,1,,47,2,5,7,5,-,4,5,6,1,1,5,4,2
,Philippine,"13,783",454,"2,037","1,772","1,499",442,902,"1,237","1,652",659,424,862,"1,106",741,,"14,755",476,"2,248","1,888","1,694",495,951,"1,236","1,858",691,437,874,"1,166",744
,Pitcairn Islander,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,Pohnpeian,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,1,-,-,-,-,-,-,1,-,-,-,-,-,-
,Puerto Rican,1,-,-,-,-,-,-,-,-,-,-,1,-,-,,1,-,-,1,-,-,-,-,-,-,-,-,-,-
,Qatari,3,-,-,-,-,-,2,-,-,-,1,-,-,-,,4,-,-,-,-,-,2,-,-,-,2,-,-,-
,Reunionese,3,-,-,-,-,-,-,-,-,-,-,-,3,-,,3,-,-,-,-,-,-,-,-,-,-,-,3,-
,Russian,168,11,21,15,21,5,11,20,12,12,9,12,13,6,,186,12,26,16,21,7,13,20,13,14,8,11,16,9
,Rwandan,44,1,1,1,8,-,-,4,10,1,7,3,3,5,,45,1,3,1,9,-,-,5,11,2,7,-,2,4
,Saint Helenian,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,2,-,1,-,1,-,-,-,-,-,-,-,-,-
,Saint Lucian,60,3,7,3,20,-,2,6,12,-,2,4,1,-,,70,2,8,3,24,-,2,7,11,2,2,5,2,2
,Saint Vincentian,30,-,1,3,5,-,1,4,4,2,5,4,1,-,,31,-,2,3,4,-,1,4,6,4,4,2,1,-
,Salvadoran,4,-,-,1,-,-,-,1,1,-,1,-,-,-,,5,-,-,1,-,-,-,1,2,-,1,-,-,-
,Samoan,3,1,-,-,1,-,1,-,-,-,-,-,-,-,,2,1,-,-,1,-,-,-,-,-,-,-,-,-
,Saudi Arabian,28,4,3,2,2,-,6,3,1,3,2,-,2,-,,35,2,3,2,3,-,4,4,-,5,3,1,4,4
,Senegalese,23,-,1,1,4,-,1,6,4,4,-,-,2,-,,26,1,1,1,4,-,1,5,3,7,-,-,3,-
,Serbian,75,5,8,9,14,2,8,8,6,2,5,1,5,2,,83,7,9,8,17,2,9,6,7,3,6,1,4,4
,Seychellois,32,-,-,6,6,-,1,6,6,2,-,1,1,3,,32,1,-,7,5,-,1,6,5,1,-,1,1,4
,Sierra Leonean,509,6,17,19,128,-,18,65,204,12,14,2,14,10,,518,8,24,21,125,-,14,69,206,13,14,2,12,10
,Singaporean,299,12,36,29,41,5,31,40,31,15,13,12,20,15,,321,14,38,20,42,8,35,41,40,12,15,12,24,20
,Somali,227,8,3,5,36,-,19,36,11,60,6,1,19,23,,252,15,5,6,38,-,18,37,14,71,7,2,14,25
,South African,"1,660",56,215,167,193,40,120,162,185,106,99,115,140,63,,"1,639",60,215,169,182,41,115,159,179,118,96,105,137,63
,Sri Lankan,"1,246",78,203,128,148,31,82,112,114,51,47,59,119,74,,"1,266",91,209,130,151,26,89,113,113,48,49,51,128,69
,Sudanese,433,37,47,24,22,48,83,11,21,18,6,8,52,57,,461,43,58,27,21,63,78,9,20,17,10,9,46,60
,Surinamese,1,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Swazi,31,3,6,3,4,1,1,2,1,2,-,3,5,-,,35,3,6,4,5,1,2,2,3,2,-,3,4,-
,Syrian,137,4,12,15,12,8,25,7,7,5,4,3,13,22,,147,8,14,12,9,8,26,6,5,6,5,8,14,26
,Taiwanese,26,-,2,2,1,1,2,6,2,2,1,1,4,2,,32,-,1,4,2,1,5,4,4,2,1,2,3,3
,Tajikistani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,1,-,-,-,-,-,-,-,-,-,-,-
,Tanzanian,134,8,14,13,21,7,8,14,11,2,9,7,13,8,,138,11,11,14,21,6,9,15,12,4,9,5,13,8
,Thai,258,13,38,38,7,11,46,6,9,27,5,14,16,28,,277,13,37,40,9,8,50,5,7,32,6,22,15,34
,Timorese,3,-,-,-,1,-,-,-,-,-,2,-,-,-,,3,-,-,-,1,-,-,-,-,-,2,-,-,-
,Tobagonian,20,-,2,1,-,1,1,3,3,2,1,-,4,2,,20,2,2,1,-,-,3,2,2,2,1,-,4,1
,Togolese,10,-,1,1,1,1,1,2,1,-,-,-,1,1,,11,-,1,-,2,1,1,2,2,-,-,-,1,1
,Tongan,2,-,-,1,-,-,-,-,-,-,-,-,1,-,,2,-,-,1,-,-,-,-,-,-,-,-,1,-
,Trinidadian,593,22,59,46,125,7,28,79,102,18,24,6,47,31,,589,26,61,47,123,7,27,73,97,20,22,7,46,33
,Trukese,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,1,-,-,-,-,-,-,-,-,-
,Tunisian,32,1,6,6,6,-,2,-,-,2,1,2,3,3,,36,1,6,4,7,-,2,-,2,4,1,1,5,3
,Turkish,166,10,15,13,30,8,21,16,14,6,5,6,14,8,,171,7,16,18,33,7,18,18,15,6,7,8,11,7
,Turkmen,3,-,1,-,-,-,-,-,-,1,1,-,-,-,,3,-,1,-,-,-,-,-,-,1,1,-,-,-
,Tuvaluan,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,1,-,-,-,-,-,-,-,-,-
,Ugandan,449,6,26,39,101,4,18,63,105,16,22,17,15,18,,479,10,28,37,120,4,20,70,114,14,21,9,14,19
,Ukrainian,150,11,20,15,18,4,13,18,7,11,2,4,19,8,,158,13,18,14,20,3,15,18,11,12,3,7,15,9
,Uruguayan,3,-,1,-,1,-,-,-,-,-,-,1,-,-,,5,1,1,-,1,-,-,-,-,-,-,2,-,-
,Uzbekistani,32,-,3,4,9,-,2,4,2,1,-,4,2,1,,30,-,4,3,8,-,1,4,4,1,-,2,2,1
,Venezuelan,37,3,6,5,4,-,2,4,4,3,2,1,2,1,,41,2,5,6,8,-,2,2,6,3,-,1,5,1
,Vietnamese,28,-,2,1,1,1,3,3,5,2,-,5,4,1,,35,1,3,1,3,2,3,6,5,1,-,4,4,2
,Yemeni,18,1,-,-,2,-,3,2,1,-,-,-,5,4,,18,-,-,-,2,-,2,3,1,-,-,-,6,4
,Zambian,493,42,52,31,61,2,67,34,36,20,20,17,37,74,,469,46,51,25,56,2,59,31,34,21,19,17,38,70
,Zimbabwean,"3,941",389,488,332,449,64,248,331,297,123,224,186,458,354,,"3,867",364,507,322,430,64,251,306,276,122,221,164,490,352
,Unknown,2,1,-,1,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,"90,528","5,535","12,207","8,290","1,937","1,787","6,608","9,090","3,681","12,446","10,503","1,462","8,191","8,801",,"80,822","3,011","11,406","7,263","1,671","1,503","6,470","7,855","3,513","11,360","9,745","1,352","7,103","8,576"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: NHS Digital, Provisional NHS Hospital & Community Health Service (HCHS) monthly workforce statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © 2017 Health and Social Care Information Centre. The Health and Social Care Information Centre is a non-departmental body created by statute, also known as NHS Digital.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount totals are unlikely to equal the sum of components due to some staff working in more than one role. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'-' denotes zero ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The nationality field available within the Electronic Staff Record (ESR) system upon which these figures are based, contains self-reported information from individual employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationally thousands of NHS staff records do not contain useful data with people choosing not to specify their nationality or not asked to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In addition, as nationality is self-reported the value entered by an individual may reflect their cultural heritage rather than their country of birth. As such, these figures should be treated with a significant degree of caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Therefore these figures do not necessarily equate to migrants from other countries, and such data is not captured elsewhere in the workforce systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional categories for countries in the UK are now showing in tables relating to nationality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Numbers in each nationality group may increase over time as more staff provide nationality information and ""Unknowns"" decrease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Following a public consultation in 2015, categorisation of Trusts and staff groups has changed therefore restricting comparability with publications prior to 2009. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More details regarding these changes can be found in the outcomes of the consultation document available at the link below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://content.digital.nhs.uk/hchs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHS Digital seeks to minimise inaccuracies and the effect of missing and invalid data but responsibility for data accuracy lies with the organisations providing the data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methods are continually being updated to improve data quality.  Where changes impact on figures already published, this is assessed but unless it is significant at national level figures are not changed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, full time equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,March 2016,,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,
,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All nationalities,,"1,027,100","78,052","91,627","76,497","66,416","63,755","162,586","49,213","56,198","80,187","33,848","48,526","112,419","107,776",,"1,047,679","80,945","94,503","77,324","68,357","63,878","165,988","49,974","57,594","82,526","34,281","48,581","113,763","109,964"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,"827,210","66,861","67,168","57,423","48,822","59,262","145,232","29,501","39,469","62,984","19,887","41,261","96,180","93,160",,"848,754","71,183","69,504","58,540","50,158","59,372","148,245","30,940","40,234","65,678","20,569","41,063","98,031","95,238"
,British,"827,210","66,861","67,168","57,423","48,822","59,262","145,232","29,501","39,469","62,984","19,887","41,261","96,180","93,160",,"847,715","71,165","69,478","58,494","50,102","59,346","148,116","30,928","40,203","65,210","20,557","40,965","97,950","95,199"
,English,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,776,7,13,32,34,15,73,3,17,418,3,79,58,23
,Northern Irish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,23,2,4,1,2,2,5,1,-,3,-,3,1,-
,Scottish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,111,5,6,6,12,7,25,5,5,20,2,7,3,9
,Welsh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,130,5,4,7,8,2,26,3,8,27,6,8,19,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,"53,760","2,629","6,363","5,661","7,391","1,058","4,870","4,870","5,750","3,761","2,580","3,148","3,060","2,619",,"57,737","2,971","6,740","6,026","7,830","1,201","5,160","5,155","6,209","4,135","2,889","3,481","3,160","2,780"
,Austrian,295,5,23,22,78,4,22,26,50,10,6,13,20,17,,305,8,27,22,74,5,24,26,50,13,8,13,17,17
,Belgian,293,15,34,27,36,9,20,33,40,11,17,11,25,14,,315,19,30,26,45,7,27,32,47,12,19,12,26,13
,Bulgarian,807,58,107,108,93,12,61,75,64,65,28,63,42,31,,894,66,116,107,113,12,70,83,65,79,35,61,42,45
,Croatian,233,7,31,38,36,4,30,6,8,2,19,5,11,35,,258,12,37,47,28,3,32,7,11,2,22,5,17,36
,Cypriot,403,26,41,27,66,7,76,33,34,12,15,9,31,26,,417,26,41,32,65,8,67,38,36,12,21,10,33,28
,Czech,604,32,61,77,76,12,46,56,58,60,26,34,31,33,,620,38,64,76,77,10,53,48,61,61,24,38,36,32
,Danish,333,20,39,43,39,5,19,43,41,20,19,15,21,9,,332,17,45,40,41,4,17,38,50,20,15,14,21,12
,Dutch,"1,262",90,115,108,182,34,102,114,140,97,53,48,103,76,,"1,367",93,123,109,183,37,125,130,157,91,55,55,127,82
,Estonian,142,5,13,21,21,3,10,21,13,13,3,7,7,7,,146,4,12,22,19,5,11,21,18,12,3,6,6,7
,Finnish,350,12,35,31,64,5,27,36,57,21,12,14,23,12,,343,11,34,27,68,6,20,36,58,20,15,18,19,13
,French,"1,242",39,101,111,261,12,76,143,218,61,48,62,58,54,,"1,376",48,109,113,290,16,90,160,257,66,47,63,66,51
,German,"2,079",89,206,173,301,98,196,150,244,156,93,104,155,112,,"2,135",87,217,165,322,93,209,169,237,167,97,109,154,110
,Greek,"2,619",143,283,227,395,59,243,232,374,113,91,115,216,128,,"2,873",141,303,248,417,62,234,265,423,145,96,147,241,151
,Hungarian,"1,005",43,110,133,103,14,83,71,79,111,61,75,58,64,,"1,101",48,129,154,114,17,81,70,85,116,65,93,61,67
,Irish,"11,848",472,"1,078",903,"1,998",345,"1,640","1,275","1,504",570,326,365,782,591,,"11,890",501,"1,075",870,"1,950",373,"1,669","1,296","1,533",592,353,345,763,569
,Italian,"5,023",231,700,506,773,80,388,428,588,378,309,217,302,122,,"5,775",373,752,554,929,134,396,494,713,371,392,252,235,180
,Latvian,322,40,42,47,28,5,29,21,22,23,5,19,19,23,,381,41,52,58,26,7,35,23,27,25,11,22,26,28
,Lithuanian,833,36,139,97,165,7,33,71,81,58,29,35,40,42,,990,53,167,104,194,16,50,78,96,62,34,37,46,52
,Luxembourg,9,-,-,1,4,-,-,1,1,2,0,-,-,-,,12,1,-,2,4,-,-,1,1,1,0,1,-,1
,Maltese,291,11,38,21,36,13,42,11,40,18,11,16,19,16,,308,15,37,21,41,14,46,14,35,16,11,18,21,20
,Polish,"6,576",367,780,836,518,136,585,509,508,661,370,518,339,449,,"7,403",430,889,935,538,156,710,544,525,786,428,583,385,494
,Portuguese,"6,074",310,"1,037",889,728,34,194,541,569,315,397,660,244,157,,"6,554",358,"1,040",936,791,40,231,586,646,355,435,729,255,151
,Romanian,"2,863",211,384,343,277,64,211,216,206,209,133,168,192,249,,"3,488",255,475,466,375,86,238,238,235,284,156,203,234,244
,Slovak,680,30,91,105,84,10,55,61,59,67,21,44,31,24,,721,35,98,110,90,12,49,59,60,68,24,45,35,37
,Slovenian,101,7,11,16,11,1,8,12,9,8,6,5,4,5,,123,5,14,18,12,1,9,18,8,14,4,7,7,6
,Spanish,"6,896",301,808,708,890,73,647,619,668,669,455,504,252,301,,"6,981",257,791,705,902,68,635,601,697,716,489,565,251,304
,Swedish,577,28,60,46,127,13,26,66,75,29,27,23,33,24,,629,29,64,59,122,13,32,80,79,28,29,28,35,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Economic Area,,337,19,30,34,55,10,31,24,57,13,13,10,21,19,,377,22,34,32,63,12,33,25,61,23,16,13,25,16
,Icelandic,27,3,2,5,4,1,4,1,2,-,-,-,2,3,,30,2,3,3,7,1,4,1,2,1,-,1,2,3
,Norwegian,176,9,21,19,34,3,17,15,18,8,5,6,9,10,,198,14,24,20,34,4,18,13,20,16,8,6,13,9
,Swiss,134,7,7,10,17,7,10,7,38,5,8,4,9,5,,149,6,7,9,23,7,10,11,40,6,9,6,11,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of World,,"67,294","3,805","7,612","6,126","8,409","1,889","6,742","6,445","7,559","3,108","2,279","2,873","6,101","4,346",,"70,541","4,192","8,384","6,378","8,806","2,016","6,973","6,614","7,872","3,221","2,350","2,891","6,360","4,483"
,Afghan,115,9,13,7,13,4,19,9,10,5,2,6,12,5,,117,9,14,11,11,4,19,10,8,5,4,5,12,4
,Albanian,85,3,9,2,16,1,7,13,5,4,6,1,10,9,,89,3,10,2,16,1,7,11,7,2,9,2,12,8
,Algerian,65,5,3,8,17,-,3,7,11,1,5,2,2,2,,71,4,8,10,18,-,4,8,8,1,5,2,2,3
,American,950,57,127,88,115,35,85,78,98,73,41,46,62,46,,"1,043",65,145,87,121,38,98,93,114,75,43,54,60,50
,American Samoan,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Angolan,22,1,1,1,2,-,5,2,2,1,0,1,3,4,,23,2,1,1,3,-,6,1,2,1,-,1,1,4
,Antiguan,5,2,-,-,1,-,-,-,-,-,1,1,-,-,,10,2,-,-,2,-,-,-,1,-,1,1,3,-
,Argentine,26,4,2,2,3,1,4,1,2,1,2,4,-,-,,28,1,3,2,3,1,5,3,2,-,2,3,1,2
,Armenian,7,-,-,1,1,-,-,2,1,-,-,-,1,1,,6,-,-,1,1,-,1,1,1,-,-,-,1,-
,Aruban,2,-,-,-,-,-,-,-,1,-,-,-,1,-,,2,-,-,-,-,-,-,-,1,-,-,-,1,-
,Australian,"1,672",31,86,126,253,16,93,552,223,84,80,46,35,47,,"1,892",29,86,181,282,18,95,620,250,96,83,49,44,59
,Azerbaijani,7,-,-,-,4,-,2,1,1,-,-,-,-,-,,5,-,0,-,1,-,2,-,2,-,-,-,-,-
,Bahamian,7,-,1,2,-,-,2,-,-,1,-,-,1,-,,16,1,1,3,-,1,2,-,-,-,2,-,5,1
,Bahraini,18,2,2,-,1,1,3,2,2,1,-,1,1,2,,20,1,3,-,1,1,4,1,2,2,-,1,2,3
,Bangladeshi,468,23,38,26,128,9,55,42,44,15,7,7,42,32,,512,32,53,31,116,5,60,47,51,18,12,9,53,24
,Barbadian,103,6,11,5,23,2,7,9,18,2,4,3,6,8,,101,9,11,2,25,2,4,9,16,1,5,4,6,9
,Barbudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,Basotho,5,-,1,-,-,-,-,-,-,1,-,-,1,2,,3,-,-,-,-,-,1,-,-,1,-,-,-,1
