id,postcode,latitude,longitude
773,EC4M,51.51475,-0.10034
774,EC4N,51.51463,-0.09314
775,EC4R,51.51191,-0.09181
776,EC4V,51.51293,-0.09897
777,EC4Y,51.51397,-0.10758
778,EH1,55.95243,-3.18840
779,EH10,55.92077,-3.20984
780,EH11,55.93387,-3.24867
781,EH12,55.94262,-3.27137
782,EH13,55.90788,-3.24144
783,EH14,55.90925,-3.28308
784,EH15,55.94686,-3.11136
785,EH16,55.92221,-3.15387
786,EH17,55.90704,-3.14222
787,EH18,55.87667,-3.12215
788,EH19,55.87324,-3.10446
789,EH2,55.95417,-3.19486
790,EH20,55.87905,-3.15579
791,EH21,55.93845,-3.04548
792,EH22,55.88441,-3.06001
793,EH23,55.83956,-3.05081
794,EH24,55.85051,-3.13257
795,EH25,55.85821,-3.17434
796,EH26,55.83257,-3.22307
797,EH27,55.89063,-3.42319
798,EH28,55.93060,-3.38624
799,EH29,55.95652,-3.39838
800,EH3,55.95412,-3.19967
801,EH30,55.98455,-3.38336
802,EH31,56.03627,-2.82661
803,EH32,55.96799,-2.94853
804,EH33,55.94196,-2.94469
805,EH34,55.90919,-2.87990
806,EH35,55.91053,-2.94233
807,EH36,55.85637,-2.85155
808,EH37,55.86188,-2.95873
809,EH38,55.78638,-2.96006
810,EH39,56.04766,-2.73052
811,EH4,55.96253,-3.25761
812,EH40,55.99057,-2.65570
813,EH41,55.94854,-2.77510
814,EH42,55.99389,-2.52428
815,EH43,55.62422,-3.01010
816,EH44,55.62015,-3.06558
817,EH45,55.65494,-3.19209
818,EH46,55.73689,-3.34910
819,EH47,55.85976,-3.66336
820,EH48,55.90110,-3.66353
821,EH49,55.97656,-3.59785
822,EH5,55.97463,-3.21633
823,EH51,56.01153,-3.60410
824,EH52,55.93756,-3.48256
825,EH53,55.89360,-3.47608
826,EH54,55.89212,-3.52400
827,EH55,55.84748,-3.57178
828,EH6,55.97144,-3.17456
829,EH7,55.96075,-3.16463
830,EH8,55.94909,-3.16268
831,EH9,55.93360,-3.18463
832,EN1,51.65360,-0.06707
833,EN10,51.74005,-0.01992
834,EN11,51.76502,-0.00723
835,EN2,51.65850,-0.09144
836,EN3,51.65852,-0.03794
837,EN4,51.64790,-0.15983
838,EN5,51.64934,-0.19447
839,EN6,51.69942,-0.17656
840,EN7,51.71025,-0.06610
841,EN8,51.69799,-0.03189
842,EN9,51.69451,0.01427
843,EX1,50.72543,-3.50479
844,EX10,50.69252,-3.24461
845,EX11,50.74603,-3.28714
846,EX12,50.70585,-3.08066
847,EX13,50.78655,-3.00733
848,EX14,50.81272,-3.18960
849,EX15,50.87675,-3.33907
850,EX16,50.92258,-3.49122
851,EX17,50.81176,-3.70205
852,EX18,50.90155,-3.88739
853,EX19,50.87712,-4.00440
854,EX2,50.70998,-3.51705
855,EX20,50.75004,-4.01882
856,EX21,50.80507,-4.20857
857,EX22,50.82804,-4.36730
858,EX23,50.82366,-4.53323
859,EX24,50.73816,-3.08849
860,EX3,50.68645,-3.45824
861,EX31,51.08566,-4.06339
862,EX32,51.07115,-4.01849
863,EX33,51.11343,-4.16894
864,EX34,51.19829,-4.10278
865,EX35,51.22360,-3.82749
866,EX36,51.01638,-3.79224
867,EX37,50.97875,-3.95179
868,EX38,50.94376,-4.15107
869,EX39,51.01394,-4.24557
870,EX4,50.73055,-3.52621
871,EX5,50.75684,-3.43916
872,EX6,50.67744,-3.59668
873,EX7,50.59183,-3.47227
874,EX8,50.62958,-3.40133
875,EX9,50.63860,-3.32239
876,FK1,55.98555,-3.79381
877,FK10,56.11516,-3.78053
878,FK11,56.15009,-3.84977
879,FK12,56.15263,-3.79998
880,FK13,56.15078,-3.74032
881,FK14,56.16536,-3.66044
882,FK15,56.20249,-3.94903
883,FK16,56.19081,-4.05966
884,FK17,56.24019,-4.21887
885,FK18,56.32448,-4.32728
886,FK19,56.37057,-4.31390
887,FK2,56.00499,-3.75461
888,FK20,56.40650,-4.63059
889,FK21,56.46574,-4.31969
890,FK3,56.01087,-3.71958
891,FK4,55.99734,-3.90662
892,FK5,56.02564,-3.81814
893,FK6,56.02149,-3.91423
894,FK7,56.09695,-3.91636
895,FK8,56.13075,-4.05001
896,FK9,56.14242,-3.93955
897,FY1,53.81551,-3.04509
898,FY2,53.84524,-3.03823
899,FY3,53.82111,-3.02092
900,FY4,53.79139,-3.02779
901,FY5,53.87415,-3.02069
902,FY6,53.86819,-2.98100
903,FY7,53.91635,-3.02629
904,FY8,53.75026,-3.00100
905,G1,55.86038,-4.24671
906,G11,55.87356,-4.31142
907,G12,55.88006,-4.30061
908,G13,55.89358,-4.34620
909,G14,55.88095,-4.34864
910,G15,55.90940,-4.36476
911,G2,55.86382,-4.25490
912,G20,55.88580,-4.28176
913,G21,55.88063,-4.22069
914,G22,55.88998,-4.25002
915,G23,55.90193,-4.28431
916,G3,55.86619,-4.27262
917,G31,55.85748,-4.20819
918,G32,55.84840,-4.16293
919,G33,55.87351,-4.16593
920,G34,55.86817,-4.11128
921,G4,55.86837,-4.25196
922,G40,55.84824,-4.22204
923,G41,55.83815,-4.28216
924,G42,55.83234,-4.25627
925,G43,55.81825,-4.28898
926,G44,55.81438,-4.25523
927,G45,55.80494,-4.23074
928,G46,55.80446,-4.30573
929,G5,55.84769,-4.25237
930,G51,55.85734,-4.31365
931,G52,55.84770,-4.34823
932,G53,55.82157,-4.35145
933,G60,55.92205,-4.45358
934,G61,55.91905,-4.33014
935,G62,55.94261,-4.32034
936,G63,56.04243,-4.36487
937,G64,55.91127,-4.21604
938,G65,55.97334,-4.05770
939,G66,55.94024,-4.15364
940,G67,55.94755,-3.98586
941,G68,55.95345,-4.01019
942,G69,55.87372,-4.10199
943,G71,55.82210,-4.07206
944,G72,55.80406,-4.12856
945,G73,55.81977,-4.20605
946,G74,55.76912,-4.17289
947,G76,55.77811,-4.27227
948,G77,55.77345,-4.32941
949,G78,55.79259,-4.40873
950,G81,55.91309,-4.40660
951,G82,55.95195,-4.57403
952,G83,56.01196,-4.58444
953,G84,56.01370,-4.75306
954,GL1,51.85990,-2.23962
955,GL10,51.74290,-2.28391
956,GL11,51.68875,-2.35591
957,GL12,51.62482,-2.38430
958,GL13,51.69289,-2.45867
959,GL14,51.81691,-2.47879
960,GL15,51.73656,-2.55036
961,GL16,51.79561,-2.61054
962,GL17,51.85542,-2.51405
963,GL18,51.94124,-2.41464
964,GL19,51.94252,-2.28662
965,GL2,51.84635,-2.26714
966,GL20,52.00304,-2.12966
967,GL3,51.86451,-2.17719
968,GL4,51.84196,-2.21630
969,GL5,51.73855,-2.21870
970,GL50,51.89968,-2.07995
971,GL51,51.89876,-2.10756
972,GL52,51.91588,-2.05816
973,GL53,51.88081,-2.06684
974,GL54,51.89693,-1.86338
975,GL55,52.06043,-1.76806
976,GL56,51.98836,-1.70435
977,GL6,51.73500,-2.19117
978,GL7,51.71263,-1.89723
979,GL8,51.64151,-2.17054
980,GL9,51.55763,-2.29718
981,GU1,51.24255,-0.56436
982,GU10,51.19750,-0.79622
983,GU11,51.24841,-0.76194
984,GU12,51.25167,-0.73032
985,GU13,51.27436,-0.83723
986,GU14,51.29246,-0.76075
987,GU15,51.33450,-0.73952
988,GU16,51.31100,-0.72868
989,GU17,51.32959,-0.78559
990,GU18,51.34813,-0.67021
991,GU19,51.35914,-0.69000
992,GU2,51.24468,-0.59152
993,GU20,51.36776,-0.65671
994,GU21,51.32006,-0.57773
995,GU22,51.31162,-0.54929
996,GU23,51.29671,-0.50816
997,GU24,51.32963,-0.62625
998,GU25,51.40090,-0.56948
999,GU26,51.11243,-0.74557
1000,GU27,51.08155,-0.71785
1001,GU28,50.99061,-0.62915
1002,GU29,50.98383,-0.74619
1003,GU3,51.24596,-0.62301
1004,GU30,51.07435,-0.80228
1005,GU31,50.99620,-0.90263
1006,GU32,51.00849,-0.96934
1007,GU33,51.04915,-0.89139
1008,GU34,51.13902,-0.98359
1009,GU35,51.11617,-0.84692
1010,GU4,51.24315,-0.53999
1011,GU46,51.33720,-0.82559
1012,GU47,51.34761,-0.78799
1013,GU5,51.20237,-0.51551
1014,GU51,51.28338,-0.83987
1015,GU52,51.26447,-0.83748
1016,GU6,51.14078,-0.48174
1017,GU7,51.18915,-0.61039
1018,GU8,51.15082,-0.64014
1019,GU9,51.21815,-0.79282
1020,GY1,49.45856,-2.53684
1021,GY2,49.57871,-2.49362
1022,GY3,49.52875,-2.45821
1023,GY4,49.52875,-2.45821
1024,GY5,49.48260,-2.58101
1025,GY6,49.52875,-2.45821
1026,GY7,49.52875,-2.45821
1027,GY8,49.52875,-2.45821
1028,GY9,49.57183,-2.28244
1029,HA0,51.55024,-0.30370
1030,HA1,51.57948,-0.33581
1031,HA2,51.57349,-0.35768
1032,HA3,51.59274,-0.31945
1033,HA4,51.56971,-0.40977
1034,HA5,51.59455,-0.38436
1035,HA6,51.61032,-0.41991
1036,HA7,51.60965,-0.30727
1037,HA8,51.61094,-0.27255
1038,HA9,51.55898,-0.28606
1039,HD1,53.64639,-1.78819
1040,HD2,53.66794,-1.77446
1041,HD3,53.65274,-1.82750
1042,HD4,53.62662,-1.79585
1043,HD5,53.64720,-1.74583
1044,HD6,53.70121,-1.78186
1045,HD7,53.62404,-1.87601
1046,HD8,53.60120,-1.67960
1047,HD9,53.57988,-1.79457
1048,HG1,53.99983,-1.53313
1049,HG2,53.98722,-1.52565
1050,HG3,54.03069,-1.61676
1051,HG4,54.15636,-1.56660
1052,HG5,54.01300,-1.45668
1053,HP1,51.75509,-0.48731
1054,HP10,51.60928,-0.70159
1055,HP11,51.62413,-0.74451
1056,HP12,51.62538,-0.77771
1057,HP13,51.63309,-0.74137
1058,HP14,51.64839,-0.82913
1059,HP15,51.65615,-0.71182
1060,HP16,51.70208,-0.71775
1061,HP17,51.77558,-0.86933
1062,HP18,51.81347,-0.98155
1063,HP19,51.82190,-0.82464
1064,HP2,51.76273,-0.45227
1065,HP20,51.81898,-0.80295
1066,HP21,51.80641,-0.80473
1067,HP22,51.80601,-0.76558
1068,HP23,51.79496,-0.66001
1069,HP27,51.71944,-0.83019
1070,HP3,51.73689,-0.47054
1071,HP4,51.76688,-0.56663
1072,HP5,51.71251,-0.60744
1073,HP6,51.67823,-0.59836
1074,HP7,51.66487,-0.60890
1075,HP8,51.64286,-0.57344
1076,HP9,51.61035,-0.63801
1077,HR1,52.06415,-2.66963
1078,HR2,52.00950,-2.78393
1079,HR3,52.09353,-3.07446
1080,HR4,52.08784,-2.76632
1081,HR5,52.19196,-3.02708
1082,HR6,52.23258,-2.77028
1083,HR7,52.18629,-2.52079
1084,HR8,52.04454,-2.44331
1085,HR9,51.90816,-2.58153
1086,HS1,58.21347,-6.38138
1087,HS2,58.24916,-6.46768
1088,HS3,57.87876,-6.85387
1089,HS4,57.86961,-6.69056
1090,HS5,57.79992,-6.96123
1091,HS6,57.60080,-7.29943
1092,HS7,57.44703,-7.33888
1093,HS8,57.23253,-7.34593
1094,HS9,56.97148,-7.47153
1095,HU1,53.74288,-0.33494
1096,HU10,53.75149,-0.44078
1097,HU11,53.82572,-0.21921
1098,HU12,53.72369,-0.13105
1099,HU13,53.72446,-0.43572
1100,HU14,53.72799,-0.50078
1101,HU15,53.74831,-0.62139
1102,HU16,53.78179,-0.41993
1103,HU17,53.84660,-0.42661
1104,HU18,53.90944,-0.16692
1105,HU19,53.72277,0.03566
1106,HU2,53.75011,-0.33769
1107,HU20,53.78836,-0.51229
1108,HU3,53.74148,-0.36381
1109,HU4,53.73568,-0.40043
1110,HU5,53.75961,-0.37524
1111,HU6,53.78110,-0.36834
1112,HU7,53.78860,-0.32554
1113,HU8,53.76845,-0.29903
1114,HU9,53.75567,-0.28589
1115,HX1,53.72111,-1.86966
1116,HX2,53.73733,-1.90448
1117,HX3,53.72648,-1.84387
1118,HX4,53.67978,-1.88039
1119,HX5,53.68601,-1.83494
1120,HX6,53.69779,-1.92426
1121,HX7,53.73916,-2.00758
1122,IG1,51.55855,0.07463
1123,IG10,51.64775,0.06569
1124,IG11,51.53573,0.09378
1125,IG2,51.57373,0.08109
1126,IG3,51.56168,0.10074
1127,IG4,51.57688,0.05525
1128,IG5,51.58749,0.06584
1129,IG6,51.59247,0.08917
1130,IG7,51.61316,0.08867
1131,IG8,51.60694,0.03350
1132,IG9,51.62391,0.04004
1133,IM1,54.15048,-4.48174
1134,IM2,54.17891,-4.46857
1135,IM3,54.17219,-4.45155
1136,IM4,54.18407,-4.53302
1137,IM5,54.19316,-4.70650
1138,IM6,54.28659,-4.58037
1139,IM7,54.32613,-4.41041
1140,IM8,54.27800,-4.08474
1141,IM9,54.09184,-4.68352
1142,IP1,52.06644,1.14151
1143,IP10,52.01888,1.26939
1144,IP11,51.97028,1.33430
1145,IP12,52.09243,1.37262
1146,IP13,52.18475,1.32107
1147,IP14,52.20597,1.03423
1148,IP15,52.15686,1.59688
1149,IP16,52.20397,1.58604
1150,IP17,52.22985,1.50316
1151,IP18,52.32995,1.67259
1152,IP19,52.33982,1.49570
1153,IP2,52.04501,1.13563
1154,IP20,52.40601,1.32150
1155,IP21,52.36431,1.23608
1156,IP22,52.37548,1.05319
1157,IP23,52.30615,1.12472
1158,IP24,52.41869,0.75903
1159,IP25,52.58588,0.83892
1160,IP26,52.50733,0.57739
1161,IP27,52.42980,0.58610
1162,IP28,52.32627,0.54924
1163,IP29,52.19245,0.66303
1164,IP3,52.04180,1.18792
1165,IP30,52.20909,0.83679
1166,IP31,52.29023,0.82877
1167,IP32,52.25326,0.71797
1168,IP33,52.24178,0.70848
1169,IP4,52.06000,1.18046
1170,IP5,52.06102,1.24182
1171,IP6,52.13100,1.11536
1172,IP7,52.06872,0.94901
1173,IP8,52.06169,1.08280
1174,IP9,51.99067,1.14931
1175,IV1,57.48740,-4.23059
1176,IV10,57.58536,-4.12616
1177,IV11,57.67758,-4.03762
1178,IV12,57.57422,-3.86458
1179,IV13,57.34280,-4.01239
1180,IV14,57.58564,-4.54783
1181,IV15,57.59965,-4.42996
1182,IV16,57.66431,-4.33703
1183,IV17,57.69985,-4.26043
1184,IV18,57.70169,-4.15479
1185,IV19,57.80478,-4.06162
1186,IV2,57.46833,-4.19107
1187,IV20,57.78653,-3.90748
1188,IV21,57.72377,-5.72019
1189,IV22,57.74156,-5.50682
1190,IV23,57.77322,-5.01018
1191,IV24,57.89133,-4.35512
1192,IV25,57.89135,-4.04295
1193,IV26,57.91578,-5.17243
1194,IV27,58.27684,-4.80032
1195,IV28,58.01527,-4.15668
1196,IV3,57.47726,-4.24499
1197,IV30,57.65468,-3.32732
1198,IV31,57.71706,-3.28931
1199,IV32,57.63161,-3.11041
1200,IV36,57.61104,-3.60363
1201,IV4,57.44843,-4.53328
1202,IV40,57.27446,-5.64981
1203,IV41,57.27372,-5.73605
1204,IV42,57.23946,-5.82877
1205,IV43,57.15550,-5.81015
1206,IV44,57.11488,-5.87374
1207,IV45,57.06714,-5.90508
1208,IV46,57.11410,-5.98441
1209,IV47,57.29467,-6.34284
1210,IV48,57.31102,-6.09713
1211,IV49,57.22770,-5.94693
1212,IV5,57.46790,-4.41120
1213,IV51,57.48055,-6.24636
1214,IV52,57.33737,-5.65106
1215,IV53,57.34465,-5.55367
1216,IV54,57.43101,-5.61538
1217,IV55,57.45873,-6.61100
1218,IV56,57.36636,-6.42790
1219,IV6,57.52634,-4.45682
1220,IV63,57.32228,-4.50465
1221,IV7,57.58435,-4.38376
1222,IV8,57.55419,-4.26477
1223,IV9,57.56922,-4.17706
1224,JE1,49.19094,-2.11961
1225,JE2,49.20183,-2.10719
1226,JE3,49.18581,-2.13418
1227,JE4,49.19392,-2.09104
1228,KA1,55.59580,-4.49509
1229,KA10,55.54945,-4.64755
1230,KA11,55.61736,-4.62512
1231,KA12,55.61923,-4.66337
1232,KA13,55.65530,-4.69921
1233,KA14,55.74041,-4.67162
1234,KA15,55.74859,-4.62596
1235,KA16,55.60713,-4.33065
1236,KA17,55.61075,-4.28164
1237,KA18,55.45063,-4.23917
1238,KA19,55.34585,-4.66707
1239,KA2,55.59619,-4.56338
1240,KA20,55.64157,-4.75072
1241,KA21,55.64176,-4.78253
1242,KA22,55.65019,-4.80697
1243,KA23,55.69135,-4.85449
1244,KA24,55.70981,-4.71412
1245,KA25,55.75263,-4.68840
1246,KA26,55.21894,-4.83313
1247,KA27,55.53880,-5.17162
1248,KA28,55.75447,-4.92287
1249,KA29,55.75701,-4.85291
1250,KA3,55.64435,-4.49499
1251,KA30,55.79725,-4.86224
1252,KA4,55.59894,-4.38256
1253,KA5,55.50987,-4.38668
1254,KA6,55.41582,-4.50427
1255,KA7,55.44739,-4.62805
1256,KA8,55.47110,-4.61222
1257,KA9,55.49734,-4.60446
1258,KT1,51.40713,-0.29606
1259,KT10,51.36749,-0.35357
1260,KT11,51.32769,-0.40237
1261,KT12,51.37721,-0.40639
1262,KT13,51.36788,-0.44838
1263,KT14,51.33869,-0.48526
1264,KT15,51.36309,-0.49451
1265,KT16,51.38312,-0.51398
1266,KT17,51.34078,-0.24827
1267,KT18,51.31670,-0.26210
1268,KT19,51.35096,-0.26799
1269,KT2,51.41602,-0.28854
1270,KT20,51.28564,-0.23029
1271,KT21,51.31098,-0.30106
1272,KT22,51.30070,-0.33731
1273,KT23,51.28137,-0.36956
1274,KT24,51.26869,-0.42879
1275,KT3,51.39935,-0.25609
1276,KT4,51.37757,-0.24255
1277,KT5,51.39171,-0.28657
1278,KT6,51.38920,-0.29960
1279,KT7,51.38959,-0.32690
1280,KT8,51.40089,-0.36243
1281,KT9,51.36405,-0.30197
1282,KW1,58.45801,-3.12092
1283,KW10,57.97509,-3.97500
1284,KW11,58.30505,-4.12991
1285,KW12,58.50634,-3.49149
1286,KW13,58.45518,-3.89556
1287,KW14,58.58913,-3.55523
1288,KW15,58.98030,-2.95862
1289,KW16,58.95963,-3.27278
1290,KW17,59.04195,-3.00217
1291,KW2,58.34893,-3.16359
1292,KW3,58.30741,-3.27829
1293,KW5,58.28747,-3.38163
1294,KW6,58.24908,-3.44148
1295,KW7,58.18641,-3.50018
1296,KW8,58.11611,-3.66360
1297,KW9,58.01370,-3.85692
1298,KY1,56.12815,-3.13750
1299,KY10,56.23024,-2.70011
1300,KY11,56.04710,-3.41450
1301,KY12,56.07674,-3.49272
1302,KY13,56.20866,-3.43173
1303,KY14,56.31048,-3.23992
1304,KY15,56.30055,-3.05050
1305,KY16,56.34184,-2.81865
1306,KY2,56.12234,-3.18238
1307,KY3,56.06346,-3.23037
1308,KY4,56.11421,-3.36066
1309,KY5,56.14548,-3.29416
1310,KY6,56.19678,-3.19756
1311,KY7,56.19719,-3.15405
1312,KY8,56.19755,-3.01061
1313,KY9,56.20965,-2.83356
1314,L1,53.40254,-2.97928
1315,L10,53.47398,-2.92668
1316,L11,53.44801,-2.91407
1317,L12,53.43467,-2.89421
1318,L13,53.41740,-2.91943
1319,L14,53.41861,-2.87883
1320,L15,53.39763,-2.91901
1321,L16,53.39876,-2.88744
1322,L17,53.37769,-2.93962
1323,L18,53.38064,-2.90661
1324,L19,53.35910,-2.90165
1325,L2,53.40696,-2.98841
1326,L20,53.45281,-2.98797
1327,L21,53.47070,-2.99893
1328,L22,53.47676,-3.02620
1329,L23,53.49118,-3.02203
1330,L24,53.34339,-2.83672
1331,L25,53.37827,-2.86296
1332,L26,53.36410,-2.83262
1333,L27,53.38744,-2.83758
1334,L28,53.43490,-2.86411
1335,L29,53.50679,-2.98319
1336,L3,53.40880,-2.98394
1337,L30,53.48442,-2.97062
1338,L31,53.51346,-2.93659
1339,L32,53.47786,-2.88909
1340,L33,53.48965,-2.87577
1341,L34,53.43614,-2.81445
1342,L35,53.41478,-2.78244
1343,L36,53.41439,-2.83962
1344,L37,53.55735,-3.06288
1345,L38,53.52420,-3.04998
1346,L39,53.56142,-2.89537
1347,L4,53.43775,-2.96052
1348,L40,53.60227,-2.84032
1349,L5,53.42505,-2.97529
1350,L6,53.41896,-2.94956
1351,L69,53.40709,-2.97337
1352,L7,53.40549,-2.94776
1353,L70,53.40891,-2.97040
1354,L8,53.39009,-2.96246
1355,L9,53.46120,-2.95201
1356,LA1,54.04663,-2.79885
1357,LA10,54.31433,-2.49348
1358,LA11,54.20034,-2.92446
1359,LA12,54.20351,-3.08246
1360,LA13,54.11792,-3.19805
1361,LA14,54.11850,-3.23020
1362,LA15,54.15588,-3.17770
1363,LA16,54.18620,-3.20155
1364,LA17,54.23860,-3.17545
1365,LA18,54.21512,-3.27448
1366,LA19,54.29312,-3.37523
1367,LA2,54.06537,-2.67390
1368,LA20,54.29404,-3.20469
1369,LA21,54.36450,-3.07283
1370,LA22,54.42276,-2.98649
1371,LA23,54.37122,-2.91136
1372,LA3,54.05058,-2.87683
1373,LA4,54.06964,-2.85125
1374,LA5,54.14287,-2.78998
1375,LA6,54.17537,-2.61134
1376,LA7,54.22568,-2.77162
1377,LA8,54.32373,-2.75961
1378,LA9,54.32563,-2.74273
1379,LD1,52.26047,-3.36570
1380,LD2,52.14145,-3.39275
1381,LD3,51.96006,-3.37111
1382,LD4,52.11786,-3.55416
1383,LD5,52.12692,-3.61584
1384,LD6,52.30909,-3.50804
1385,LD7,52.35240,-3.08513
1386,LD8,52.26735,-3.04348
1387,LE1,52.63379,-1.12812
1388,LE10,52.53641,-1.36744
1389,LE11,52.76927,-1.21584
1390,LE12,52.76641,-1.19217
1391,LE13,52.76572,-0.88536
1392,LE14,52.78380,-0.89527
1393,LE15,52.65594,-0.70037
1394,LE16,52.48616,-0.89244
1395,LE17,52.46690,-1.17706
1396,LE18,52.58332,-1.11141
1397,LE19,52.57718,-1.21047
1398,LE2,52.60942,-1.11531
1399,LE3,52.62876,-1.17993
1400,LE4,52.66342,-1.12309
1401,LE5,52.63616,-1.08521
1402,LE6,52.66244,-1.24141
1403,LE65,52.74819,-1.46810
1404,LE67,52.71619,-1.36041
1405,LE7,52.67739,-1.06808
1406,LE8,52.55264,-1.09728
1407,LE9,52.57012,-1.28728
1408,LL11,53.06314,-3.03425
1409,LL12,53.08601,-2.98851
1410,LL13,53.03590,-2.95902
1411,LL14,52.99198,-3.05043
1412,LL15,53.10263,-3.31455
1413,LL16,53.18489,-3.43231
1414,LL17,53.25319,-3.43460
1415,LL18,53.31023,-3.47554
1416,LL19,53.33082,-3.40866
1417,LL20,52.95949,-3.15982
1418,LL21,52.99006,-3.40947
1419,LL22,53.26827,-3.59257
1420,LL23,52.90493,-3.60003
1421,LL24,53.05695,-3.78474
1422,LL25,53.05460,-3.87866
1423,LL26,53.13877,-3.78514
1424,LL27,53.14718,-3.82288
1425,LL28,53.28749,-3.75983
1426,LL29,53.28916,-3.70738
1427,LL30,53.31813,-3.81514
1428,LL31,53.29035,-3.80946
1429,LL32,53.26022,-3.83968
1430,LL33,53.24987,-3.98015
1431,LL34,53.27076,-3.91212
1432,LL35,52.54657,-4.04127
1433,LL36,52.60374,-4.06313
1434,LL37,52.66546,-4.08230
1435,LL38,52.69767,-4.03943
1436,LL39,52.71076,-4.01043
1437,LL40,52.75614,-3.87468
1438,LL41,52.96914,-3.93750
1439,LL42,52.72530,-4.05405
1440,LL43,52.77409,-4.09193
1441,LL44,52.79111,-4.09572
1442,LL45,52.81989,-4.09562
1443,LL46,52.85477,-4.10621
1444,LL47,52.90140,-4.06237
1445,LL48,52.93544,-4.06994
1446,LL49,52.92883,-4.13808
1447,LL51,52.97377,-4.23712
1448,LL52,52.92425,-4.24052
1449,LL53,52.88418,-4.49117
1450,LL54,53.05829,-4.28478
1451,LL55,53.13355,-4.20355
1452,LL56,53.18669,-4.19879
1453,LL57,53.20718,-4.10998
1454,LL58,53.28022,-4.09857
1455,LL59,53.23417,-4.15926
1456,LL60,53.21505,-4.26915
1457,LL61,53.19540,-4.26212
1458,LL62,53.21007,-4.38572
1459,LL63,53.21824,-4.47007
1460,LL64,53.22805,-4.51709
1461,LL65,53.30067,-4.56940
1462,LL66,53.38055,-4.40427
1463,LL67,53.41097,-4.45565
1464,LL68,53.39818,-4.37668
1465,LL69,53.38583,-4.31883
1466,LL70,53.36396,-4.28758
1467,LL71,53.32732,-4.36823
1468,LL72,53.34957,-4.24023
1469,LL73,53.33511,-4.24397
1470,LL74,53.31645,-4.23248
1471,LL75,53.28343,-4.21876
1472,LL76,53.30017,-4.23764
1473,LL77,53.26011,-4.31053
1474,LL78,53.31678,-4.26253
1475,LN1,53.25883,-0.58621
1476,LN10,53.15858,-0.21703
1477,LN11,53.37320,0.02496
1478,LN12,53.32930,0.26620
1479,LN13,53.26518,0.18482
1480,LN2,53.25429,-0.50840
1481,LN3,53.24325,-0.41885
1482,LN4,53.15018,-0.38489
1483,LN5,53.17126,-0.55617
1484,LN6,53.20319,-0.59403
1485,LN7,53.49216,-0.34327
1486,LN8,53.37321,-0.32384
1487,LN9,53.21719,-0.11124
1488,LS1,53.79674,-1.54754
1489,LS10,53.76162,-1.53123
1490,LS11,53.77609,-1.55535
1491,LS12,53.79062,-1.59618
1492,LS13,53.81052,-1.63396
1493,LS14,53.82782,-1.45604
1494,LS15,53.80619,-1.44417
1495,LS16,53.85086,-1.60169
1496,LS17,53.85958,-1.52709
1497,LS18,53.84020,-1.64130
1498,LS19,53.85920,-1.68220
1499,LS2,53.80123,-1.54597
1500,LS20,53.87365,-1.71251
1501,LS21,53.91132,-1.67876
1502,LS22,53.93179,-1.39375
1503,LS23,53.90372,-1.35458
1504,LS24,53.86987,-1.25168
1505,LS25,53.78584,-1.33059
1506,LS26,53.75227,-1.44791
1507,LS27,53.74839,-1.60266
1508,LS28,53.80163,-1.66897
1509,LS29,53.92058,-1.80356
1510,LS3,53.80128,-1.55964
1511,LS4,53.80944,-1.58082
1512,LS5,53.81851,-1.60199
1513,LS6,53.81928,-1.56704
1514,LS7,53.81828,-1.53971
1515,LS8,53.82445,-1.50926
1516,LS9,53.79928,-1.50803
1517,LU1,51.87476,-0.42373
1518,LU2,51.89147,-0.39553
1519,LU3,51.90829,-0.44291
